timestamp,player,prop_type,line_value,book,over_odds,under_odds
2026-04-01T06:20:40Z,Davion Mitchell,Assists,5.5,fanduel,-140,106
2026-04-01T06:20:40Z,Tyler Herro,Assists,3.5,fanduel,-158,118
2026-04-01T06:20:40Z,Derrick White,Blocks,1.5,fanduel,178,-245
2026-04-01T06:20:40Z,Neemias Queta,Blocks,1.5,fanduel,194,-270
2026-04-01T06:20:40Z,Jayson Tatum,Points,22.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Sam Hauser,Points,8.5,fanduel,-112,-118
2026-04-01T06:20:40Z,Andrew Wiggins,Points,14.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Baylor Scheierman,Points,5.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Davion Mitchell,Points,9.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Tyler Herro,Points,22.5,fanduel,-122,-108
2026-04-01T06:20:40Z,Neemias Queta,Points,9.5,fanduel,-136,102
2026-04-01T06:20:40Z,Payton Pritchard,Points,16.5,fanduel,102,-136
2026-04-01T06:20:40Z,Bam Adebayo,Points,19.5,fanduel,-128,-102
2026-04-01T06:20:40Z,Derrick White,Points,16.5,fanduel,-104,-128
2026-04-01T06:20:40Z,Jaylen Brown,Points,27.5,fanduel,-112,-118
2026-04-01T06:20:40Z,Pelle Larsson,Points,12.5,fanduel,-108,-122
2026-04-01T06:20:40Z,Jaime Jaquez Jr,Points,13.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Bam Adebayo,Points Assists,23.5,fanduel,-112,-118
2026-04-01T06:20:40Z,Jayson Tatum,Points Assists,27.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Payton Pritchard,Points Assists,21.5,fanduel,-104,-128
